Time, ../model.aircraft.z, ../model.aircraft.theta
0.9800000000000006, -0.13179584807918002, 0.1698727372793059
0.9900000000000007, -0.13179582950362448, 0.16987276335719803
1.0000000000000007, -0.1317958084942672, 0.16987279355507215
1.0100000000000007, -0.13179578546564, 0.16987282666270118
1.0200000000000007, -0.1317957607845207, 0.16987286149735326
1.0300000000000007, -0.13179573476860112, 0.16987289693472152
1.0400000000000007, -0.13179570768657864, 0.16987293193539024
1.0500000000000007, -0.13179567975953227, 0.16987296556649442
1.0600000000000007, -0.13179565116342062, 0.16987299701839695
1.0700000000000007, -0.1317956220325232, 0.16987302561636464
1.0800000000000007, -0.13179559246363623, 0.16987305082736762
1.0900000000000007, -0.13179556252083086, 0.16987307226225307
1.1000000000000008, -0.13179553224058368, 0.1698730896736523
1.1100000000000008, -0.13179550163709675, 0.1698731029500687
