Time, model.cp.theta, model.cp.x, model.cp.y, model.cp.z, model.cp.beta
7.269999999999889, 2.409294779423774, 0.320534272282409, -0.35651987166453303, 0.8775826806635894, 0.49999975225924786
7.279999999999889, 2.375877686860888, 0.33226694461443507, -0.3456114824055697, 0.8775826916855257, 0.49999972926935526
7.289999999999889, 2.342460592868828, 0.34362860732723416, -0.334317183990974, 0.8775827030626178, 0.4999997055386672
7.299999999999889, 2.3090434974037057, 0.3546065739908129, -0.3226495876570097, 0.8775827147723796, 0.4999996811140851
7.309999999999889, 2.275626400424545, 0.36518858661215525, -0.31062172146377187, 0.8775827267916679, 0.49999965604388197
7.319999999999888, 2.242209301893364, 0.3753628293224511, -0.2982470157479018, 0.8775827390967277, 0.49999963037760675
7.329999999999888, 2.2087922017752453, 0.38511794157063933, -0.28553928812611973, 0.8775827516632391, 0.49999960416598643
7.339999999999888, 2.1753751000384076, 0.3944430308085303, -0.27251272806632804, 0.8775827644663655, 0.4999995774608259
7.349999999999888, 2.1419579966542726, 0.4033276846533425, -0.2591818810435134, 0.8775827774808026, 0.49999955031490545
7.3599999999998875, 2.1085408915975163, 0.4117619825140797, -0.24556163229813321, 0.8775827906808287, 0.4999995227818765
7.369999999999887, 2.0751237848461193, 0.41973650666876117, -0.23166719021512938, 0.8775828040403549, 0.49999949491615553
7.379999999999887, 2.041706676381412, 0.42724235278013845, -0.21751406934212866, 0.8775828175329775, 0.4999994667728166
7.389999999999887, 2.00828956618811, 0.43427113983815757, -0.20311807306578888, 0.8775828311320295, 0.49999943840748245
7.399999999999887, 1.9748724542543485, 0.4408150195180663, -0.18849527596563867, 0.8775828448106335, 0.4999994098762146
7.4099999999998865, 1.9414553405716994, 0.4468666849437175, -0.17366200586511168, 0.8775828585417552, 0.49999938123540244
7.419999999999886, 1.9080382251351928, 0.4524193788462837, -0.1586348255998212, 0.877582872298256, 0.49999935254165195
7.429999999999886, 1.8746211079433224, 0.45746690110927535, -0.14343051452342934, 0.8775828860529475, 0.4999993238516738
7.439999999999886, 1.8412039889980563, 0.4620036156914353, -0.1280660497717691, 0.877582899778645, 0.499999295222171
7.449999999999886, 1.807786868304823, 0.4660244569197864, -0.11255858730612664, 0.8775829134482207, 0.4999992667097273
